Time,Signal
0.086046511627907,1048.81
0.0872093023255814,1029.5
0.0883720930232558,1006.81
0.0895348837209302,998.75
0.0906976744186046,970.81
0.091860465116279,962.19
0.0930232558139535,942.5
0.0941860465116279,923.38
0.0953488372093023,915.5
0.0965116279069767,889.25
0.0976744186046511,883.25
0.0988372093023255,863.0
0.1,847.6300000000001
0.1011627906976744,839.19
0.1023255813953488,815.0
0.1034883720930232,811.25
0.1046511627906976,790.25
0.1058139534883721,778.6300000000001
0.1069767441860465,769.6300000000001
0.1081395348837208,747.5
0.1093023255813953,745.25
0.1104651162790697,724.06
0.1116279069767442,715.81
0.1127906976744186,705.69
0.1139534883720929,686.19
0.1151162790697674,685.06
0.1162790697674418,663.8800000000001
0.1174418604651163,658.6300000000001
0.1186046511627907,647.3800000000001
0.119767441860465,630.69
0.1209302325581395,629.75
0.1220930232558139,608.94
0.1232558139534883,606.31
0.1244186046511628,593.75
0.1255813953488372,580.44
0.1267441860465116,579.1300000000001
0.127906976744186,559.06
0.1290697674418604,558.8800000000001
0.1302325581395349,544.81
0.1313953488372093,534.69
0.1325581395348836,532.44
0.1337209302325581,513.5
0.1348837209302325,515.19
0.136046511627907,500.19000000000005
0.1372093023255814,493.06
0.1383720930232558,489.69000000000005
0.1395348837209302,472.44000000000005
0.1406976744186046,475.06
0.141860465116279,459.31
0.1430232558139535,455.19000000000005
0.1441860465116279,450.31
0.1453488372093023,435.1300000000001
0.1465116279069767,438.31
0.1476744186046511,421.81
0.1488372093023256,420.31
0.15,413.94000000000005
0.1511627906976743,401.0
0.1523255813953488,404.19000000000005
0.1534883720930232,387.5
0.1546511627906977,388.44000000000005
0.1558139534883721,380.19000000000005
0.1569767441860464,370.06
0.1581395348837209,372.69000000000005
0.1593023255813953,356.3800000000001
0.1604651162790697,359.3800000000001
0.1616279069767442,349.44000000000005
0.1627906976744186,342.30999999999995
0.163953488372093,343.80999999999995
0.1651162790697674,328.25
0.1662790697674418,332.75
0.1674418604651163,321.30999999999995
0.1686046511627907,317.0
0.1697674418604651,317.0
0.1709302325581395,302.94000000000005
0.1720930232558139,308.3800000000001
0.1732558139534884,295.80999999999995
0.1744186046511628,293.75
0.1755813953488371,292.25
0.1767441860465116,279.69000000000005
0.177906976744186,285.69000000000005
0.1790697674418604,272.19000000000005
0.1802325581395349,272.75
0.1813953488372092,269.3800000000001
0.1825581395348837,258.8800000000001
0.1837209302325581,264.69000000000005
0.1848837209302325,250.81
0.186046511627907,253.44000000000003
0.1872093023255814,248.0
0.1883720930232558,239.94000000000003
0.1895348837209302,245.0
0.1906976744186046,231.1300000000001
0.1918604651162791,235.6300000000001
0.1930232558139535,228.69000000000003
0.1941860465116279,223.06
0.1953488372093023,226.81
0.1965116279069767,213.31
0.1976744186046511,219.5
0.1988372093023256,210.69000000000003
0.1999999999999999,207.69000000000003
0.2011627906976744,209.75
0.2023255813953488,197.3800000000001
0.2034883720930232,204.5
0.2046511627906977,194.0
0.2058139534883721,193.6300000000001
0.2069767441860465,194.0
0.2081395348837209,183.31
0.2093023255813953,190.44000000000003
0.2104651162790698,179.0
0.2116279069767442,181.06
0.2127906976744186,179.3800000000001
0.213953488372093,170.55999999999997
0.2151162790697674,177.30999999999997
0.2162790697674418,165.5
0.2174418604651163,169.44000000000003
0.2186046511627907,165.69000000000003
0.2197674418604651,158.94000000000003
0.2209302325581395,165.30999999999997
0.2220930232558139,152.94000000000003
0.2232558139534884,158.75
0.2244186046511627,153.1300000000001
0.2255813953488372,148.6300000000001
