Tiempo (s),Datos Seriales
4.2,4971.0
4.21,4971.94
4.22,4973.06
4.23,4974.37
4.24,4975.31
4.25,4976.44
4.26,4977.19
4.2700000000000005,4978.31
4.28,4979.06
4.29,4980.19
4.3,4980.94
4.3100000000000005,4981.69
4.32,4982.44
4.33,4983.19
4.34,4984.12
4.3500000000000005,4984.69
4.36,4985.44
4.37,4986.19
4.38,4986.75
4.39,4987.5
4.4,4988.06
4.41,4988.81
4.42,4989.37
4.43,4989.94
4.44,4990.69
4.45,4991.06
4.46,4991.62
4.47,4992.19
4.48,4992.56
4.49,4992.94
4.5,4993.69
4.51,4994.06
4.5200000000000005,4994.44
4.53,4995.0
4.54,4995.37
4.55,4995.75
4.5600000000000005,4996.12
4.57,4996.5
4.58,4997.06
4.59,4997.44
4.6000000000000005,4997.81
4.61,4998.19
4.62,4998.56
4.63,4999.12
4.64,4999.31
4.65,4999.69
4.66,5000.06
4.67,5000.25
4.68,5000.44
4.69,5000.81
4.7,5001.19
4.71,5001.37
4.72,5001.75
4.73,5002.12
4.74,5002.5
4.75,5002.69
4.76,5002.87
4.7700000000000005,5003.44
4.78,5003.62
4.79,5003.81
4.8,5004.0
4.8100000000000005,5004.19
4.82,5004.37
4.83,5004.56
4.84,5004.75
4.8500000000000005,5004.94
4.86,5005.31
4.87,5005.5
4.88,5005.5
4.89,5005.87
4.9,5006.06
4.91,5006.06
4.92,5006.44
4.93,5006.62
4.94,5006.81
4.95,5007.0
4.96,5007.19
4.97,5007.37
4.98,5007.75
4.99,5007.75
5.0,5007.94
5.01,5008.12
5.0200000000000005,5008.31
5.03,5008.5
5.04,5008.5
5.05,5008.87
5.0600000000000005,5009.06
5.07,5009.06
5.08,5009.25
5.09,5009.62
5.1000000000000005,5009.62
5.11,5009.62
5.12,5009.81
5.13,5010.0
5.14,5010.19
5.15,5010.37
5.16,5010.56
5.17,5010.56
5.18,5010.75
5.19,5010.75
5.2,5010.94
5.21,5010.94
5.22,5011.12
5.23,5011.31
5.24,5011.31
5.25,5011.5
5.26,5011.69
5.2700000000000005,5011.87
5.28,5011.87
5.29,5012.06
5.3,5011.87
5.3100000000000005,5012.44
5.32,5012.25
5.33,5012.62
5.34,5012.62
5.3500000000000005,5012.44
5.36,5012.62
5.37,5012.81
5.38,5012.81
5.39,5013.0
5.4,5013.19
5.41,5013.19
5.42,5013.37
5.43,5013.37
5.44,5013.37
5.45,5013.75
5.46,5013.75
